en_distance,en_distance_blue,en_distance_ter,en_distance_tri,en_distance_LCS,includesFurmula,onlyNumbers,includesBraces,hasFormatting,numberOfWords,includesLink,reviewScore
0,0.9797986739,-1,-1,99.6350365,0,0,0,0,49,0,0.3884659467
30,0.625,0.0625,-24,72.05882353,0,0,0,0,16,0,0.585755814
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
2,0.8668778998,0.1428571429,-2,100,0,0,0,0,7,0,0.4408557421
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,10,0,0.3837209302
0,0.9607894392,-1,-1,100,0,0,0,0,25,0,0.3965932406
36,0.5,0.07142857143,-26,70.66666667,0,0,0,0,14,0,0.646179402
2,0.9131007163,0.09090909091,-4,98.63013699,0,0,0,0,11,0,0.4209264313
2,0.8668778998,0.1428571429,-2,100,0,0,0,0,7,0,0.4408557421
26,0.690033311,0.08333333333,-8,84.21052632,0,0,0,0,12,0,0.5536046598
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
8,0.976744186,0.02325581395,-10,92.11618257,0,0,0,0,43,0,0.4052641067
20,0.4390493089,0.2,-12,96.55172414,0,0,0,0,5,0,0.6437793376
17,0.8181818182,0.09090909091,-20,82.22222222,0,0,0,0,11,0,0.4867864693
0,1,0,0,100,0,0,0,0,9,0,0.3841515935
21,0.875,0.125,-2,78.37837838,0,0,0,0,8,0,0.4738372093
2,0.8948393168,0.1111111111,-2,100,0,0,0,0,9,0,0.4287875172
14,0.8254248052,0.03703703704,-52,90.78947368,0,0,0,0,27,0,0.4760770924
32,0.7360387807,0.3521126761,-14.33333333,79.79539642,0,0,0,0,71,0,0.5447169264
8,0.6065306597,0.5,-2,100,0,0,0,0,2,0,0.5672361784
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,1,0,0,0,35,0,0.4584717608
29,0.724158344,0.05882352941,-13,82.03753351,0,0,0,0,68,0,0.5435318776
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
5,0.8202219726,0.02380952381,-58,95.43147208,1,0,0,0,42,0,0.5376585193
15,0.7430381998,0.07142857143,-30,96.25,0,0,0,0,14,0,0.5112808749
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
31,0.7142857143,0.09523809524,-10,77.41935484,1,0,0,0,21,0,0.6300295312
31,0.7027489285,-1,-1,77.82258065,0,0,0,0,41,0,0.5560814325
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
32,0.7796610169,0.01694915254,-98,71.29337539,1,0,0,0,59,0,0.6054394955
30,0.9166666667,0.08333333333,-20,75.36231884,0,0,0,0,12,0,0.4735142119
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
32,0.7083333333,-1,-1,73.4375,1,0,0,0,24,0,0.6340439276
46,0.4444444444,0.1111111111,-20,63.46153846,0,0,0,0,9,0,0.688630491
23,0,1,-4,92.85714286,0,0,0,0,1,0,0.8507751938
40,0.25,0.25,-10,60,0,0,0,0,4,0,0.757751938
32,0.6,0.2,-6,67.85714286,0,0,0,0,5,0,0.6046511628
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
13,0.7191070868,0.05263157895,-40,93.98496241,0,0,0,0,19,0,0.5159519655
30,0.5515605641,0.125,-10,81.63265306,0,0,0,0,8,0,0.6166431922
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
